Month,"Active Listings, Number of","Sales, Number of",Consumer Price Index,#_of_New_Listings,Sales_Volume,Expired_Listings
1/1/2010,12744,649,217.49,2174,66449036,1969
2/1/2010,12946,711,217.28,2143,75823695,1792
3/1/2010,13559,1137,217.35,3161,129276059,2142
4/1/2010,13892,1289,217.4,3106,147547380,2060
5/1/2010,14158,1416,217.29,2374,171784178,1899
6/1/2010,15023,1349,217.2,2877,172034080,2496
7/1/2010,15161,977,217.61,2727,111865590,2422
8/1/2010,15287,1102,217.92,2720,125747365,2762
9/1/2010,15220,957,218.28,2311,106764552,2901
10/1/2010,14560,912,219.04,2046,93893471,2824
11/1/2010,14197,809,219.59,1770,86448209,2369
12/1/2010,13355,928,220.47,1688,108203400,3581
1/1/2011,12811,688,221.19,1987,64921111,1874
2/1/2011,12907,771,221.9,2000,77019307,1841
3/1/2011,13323,958,223.05,2730,85268052,2100
4/1/2011,13568,978,224.09,2549,101870455,2015
5/1/2011,13866,1204,224.81,2580,131789935,1976
6/1/2011,14068,1236,224.81,2442,145338972,2362
7/1/2011,13750,1112,225.4,2206,128906988,2197
8/1/2011,13665,1192,226.11,2314,134223085,2161
9/1/2011,13329,1093,226.6,1865,120784764,2594
10/1/2011,12883,1007,226.75,1926,111086160,2428
11/1/2011,12182,883,227.17,1559,92615208,2430
12/1/2011,11294,906,227.22,1331,92700974,3272
1/1/2012,10666,741,227.84,1892,68788352,1757
2/1/2012,10549,829,228.33,1977,81140967,1554
3/1/2012,10700,1096,228.81,2435,117265443,1873
4/1/2012,11005,1089,229.19,2402,134358339,1732
5/1/2012,11260,1317,228.71,2468,157226516,1788
6/1/2012,11363,1242,228.52,2355,146647147,2126
7/1/2012,11302,1278,228.59,2327,150361796,2025
8/1/2012,11189,1333,229.92,2218,160492112,2067
9/1/2012,10983,1154,231.02,1886,134346862,2336
10/1/2012,10697,1252,231.64,2050,143328196,2416
11/1/2012,10300,1071,231.25,1609,121343690,2207
12/1/2012,9514,960,231.22,1188,107811123,3378
1/1/2013,9126,867,231.68,1905,90407457,1706
2/1/2013,9254,953,232.94,1901,96848033,1651
3/1/2013,9453,1146,232.28,2359,127184327,1846
4/1/2013,10113,1276,231.8,2867,143215793,1745
5/1/2013,10463,1459,231.89,2756,174123326,1801
6/1/2013,10887,1483,232.45,2682,197187647,1988
7/1/2013,11111,1569,232.9,2713,201350267,2040
8/1/2013,11091,1588,233.46,2402,191229413,2336
9/1/2013,11155,1394,233.54,2180,157270311,2449
10/1/2013,10721,1388,233.67,2055,151509253,2736
11/1/2013,10145,1130,234.1,1499,125534622,2437
12/1/2013,9503,1123,234.72,1304,131093084,3476
1/1/2014,8820,883,235.29,1722,88896145,1982
2/1/2014,8738,914,235.55,1607,95440191,1620
3/1/2014,9087,1093,236.03,2372,121097361,1821
4/1/2014,9557,1260,236.47,2614,156039402,1841
5/1/2014,9788,1416,236.92,2605,184921884,1650
6/1/2014,10287,1476,237.23,2659,196572821,1963
7/1/2014,10314,1471,237.5,2412,201036312,1991
8/1/2014,10324,1402,237.46,2292,183294986,2110
9/1/2014,10318,1370,237.48,2213,172986780,2403
10/1/2014,9896,1441,237.43,2003,181684179,2609
11/1/2014,9333,1059,236.98,1476,133696535,2373
12/1/2014,8738,1162,236.25,1264,150293116,3512
1/1/2015,8421,879,234.75,1769,101449059,1775
2/1/2015,8336,850,235.34,1748,92441644,1612
3/1/2015,8551,1217,235.98,2369,152257498,1974
4/1/2015,8907,1389,236.22,2682,177053457,1745
5/1/2015,9130,1526,237,2608,216665826,1682
6/1/2015,9438,1807,237.66,2624,260599448,2100
7/1/2015,9533,1770,238.03,2537,245381342,1981
8/1/2015,9542,1584,238.03,2453,213852049,2205
9/1/2015,9527,1531,237.5,2089,203536699,2453
10/1/2015,9501,1411,237.73,2149,184385807,2677
11/1/2015,9774,1127,238.02,1585,145539483,2360
12/1/2015,9211,1254,237.76,1120,161696775,3554
1/1/2016,8859,973,237.65,1667,117553575,1776
2/1/2016,9241,945,237.34,1881,109600248,1654
3/1/2016,9724,1308,238.08,2362,176755055,1804
4/1/2016,10001,1483,238.99,2422,207777770,1771
5/1/2016,10172,1769,239.56,2415,257442016,1718
6/1/2016,10240,1902,240.22,2541,289354267,2077
7/1/2016,9874,1697,240.1,2216,250627055,1852
8/1/2016,9809,1856,240.55,2262,254168183,2116
9/1/2016,9532,1691,241.18,1979,234472468,2500
10/1/2016,8978,1543,241.74,1827,219279390,2523
11/1/2016,8442,1375,242.03,1557,194977815,2093
12/1/2016,7393,1329,242.64,1110,173320673,3264
1/1/2017,7427,985,243.62,1628,126592604,1807
2/1/2017,7794,1003,244.01,1744,132950177,1663
3/1/2017,8031,1512,243.89,2269,210516780,1852
4/1/2017,8231,1525,244.19,2309,221682598,1697
5/1/2017,8536,1848,244,2483,275757974,1570
6/1/2017,8668,1917,244.16,2477,306904452,1836
7/1/2017,8560,1676,244.24,2250,245829367,1827
8/1/2017,8588,1821,245.18,2431,277319699,1984
9/1/2017,8207,1631,246.44,1994,242502062,2295
10/1/2017,7978,1557,246.63,1825,229322089,2348
11/1/2017,7407,1410,247.28,1428,202914611,2281
12/1/2017,6495,1270,247.81,1183,184172524,3321
1/1/2018,6437,989,248.86,1522,134049973,1839
2/1/2018,6777,1007,249.53,1708,143976290,1691
3/1/2018,6917,1473,249.58,2154,216697987,1876
4/1/2018,7255,1619,250.23,2297,243024107,1708
5/1/2018,7546,1772,250.79,2498,294454773,1473
6/1/2018,7523,1909,251.02,2526,330647613,1760
7/1/2018,7774,1836,251.21,2361,291594303,1759
8/1/2018,7851,1911,251.66,2474,299791756,1989
9/1/2018,7599,1479,252.18,1944,234876689,2186
10/1/2018,7681,1588,252.77,2136,243201760,2390
11/1/2018,7232,1453,252.59,1537,225251773,2230
12/1/2018,6368,1219,252.77,1027,187703845,3306
1/1/2019,6273,1059,252.56,1490,141147520,1843
2/1/2019,6467,1061,253.32,1579,159947839,1739
3/1/2019,6535,1374,254.28,2028,208834208,1843
4/1/2019,6969,1654,255.23,2302,276453119,1810
5/1/2019,7096,1939,255.3,2444,334964496,1562
6/1/2019,7104,1724,255.21,2369,319292784,1758
7/1/2019,7214,1874,255.8,2326,336895883,1648
8/1/2019,7034,1791,256.04,2264,303690392,1925
9/1/2019,7120,1590,256.43,2092,276209812,2172
10/1/2019,6960,1688,257.16,2086,278588960,2421
11/1/2019,6390,1407,257.88,1455,234444740,2185
12/1/2019,5596,1454,258.63,1072,239014816,3443
1/1/2020,5717,1114,259.13,1656,173339722,1807
2/1/2020,5671,1192,259.25,1695,190697448,1660
3/1/2020,5848,1512,258.08,1926,262119082,1774
4/1/2020,5805,1280,256.03,1567,225379723,1709
5/1/2020,5890,1454,255.8,1964,256923219,1379
6/1/2020,6070,1835,257.04,2116,351883494,1670
7/1/2020,6015,2021,258.35,2264,394695847,1576
8/1/2020,5874,1909,259.32,2107,367613292,1806
9/1/2020,5846,1909,260,2134,382661532,2038
10/1/2020,5542,1867,260.32,2082,363706206,1848
11/1/2020,5335,1632,260.91,1538,304512270,1779
12/1/2020,4374,1679,262.05,1089,321657509,3503
1/1/2021,4192,1154,262.64,1322,214528046,1924
2/1/2021,4047,1187,263.57,1251,215551409,1588
3/1/2021,4460,1438,264.85,1923,281022027,1814
4/1/2021,4841,1582,266.63,1996,331466688,1623
5/1/2021,4852,1642,268.4,2051,356441450,1411
6/1/2021,5262,1962,270.71,2506,443703065,1628
7/1/2021,5266,1972,271.97,2418,420771600,1560
8/1/2021,5592,1814,272.75,2302,386028567,1611
9/1/2021,5472,1849,273.94,1963,398259707,1996
10/1/2021,5238,1781,276.53,2022,378845352,2134
11/1/2021,5015,1669,278.82,1559,357470973,2031
12/1/2021,4098,1662,280.81,1071,362290997,3391
1/1/2022,3975,1176,282.54,1289,242333114,1784
2/1/2022,4023,1160,284.53,1319,231225069,1572
3/1/2022,4390,1473,287.47,2044,318155510,1777
4/1/2022,4643,1511,288.58,2076,349927542,1540
5/1/2022,5122,1749,291.3,2292,436419427,1429
6/1/2022,5399,1803,295.07,2329,441447720,1601
7/1/2022,5314,1732,294.94,2115,413437461,1575
